test_round,subj,stim,response,emotion,correct,rt
1,227,img\Rafd090_05_Caucasian_male_happy_frontal.jpg,5,5,1,0.9136419150745496
1,227,img\Rafd090_09_Caucasian_male_surprised_frontal.jpg,7,7,1,0.818976313341409
1,227,img\Rafd090_04_Caucasian_female_happy_frontal.jpg,5,5,1,0.6960444267606363
1,227,img\Rafd090_10_Caucasian_male_contemptuous_frontal.jpg,6,2,0,3.865801317151636
1,227,img\Rafd090_04_Caucasian_female_angry_frontal.jpg,3,1,0,3.988950720289722
1,227,img\Rafd090_12_Caucasian_female_fearful_frontal.jpg,1,4,0,1.5867924973135814
1,227,img\Rafd090_03_Caucasian_male_sad_frontal.jpg,6,6,1,1.745426878449507
1,227,img\Rafd090_05_Caucasian_male_disgusted_frontal.jpg,2,3,0,2.80111699848203
1,227,img\Rafd090_05_Caucasian_male_contemptuous_frontal.jpg,6,2,0,3.126916689623613
1,243,img/Rafd090_14_Caucasian_female_sad_frontal.jpg,3,6,0,18.215566158294678
1,243,img/Rafd090_12_Caucasian_female_happy_frontal.jpg,5,5,1,3.4455761909484863
1,243,img/Rafd090_05_Caucasian_male_fearful_frontal.jpg,7,4,0,4.835946083068848
1,243,img/Rafd090_07_Caucasian_male_disgusted_frontal.jpg,3,3,1,4.331818103790283
1,243,img/Rafd090_07_Caucasian_male_angry_frontal.jpg,2,1,0,6.3193039894104
1,243,img/Rafd090_03_Caucasian_male_contemptuous_frontal.jpg,3,2,0,24.518151998519897
1,243,img/Rafd090_12_Caucasian_female_contemptuous_frontal.jpg,2,2,1,5.692263841629028
1,243,img/Rafd090_09_Caucasian_male_disgusted_frontal.jpg,1,3,0,3.2466909885406494
1,243,img/Rafd090_03_Caucasian_male_disgusted_frontal.jpg,1,3,0,2.9805619716644287
1,243,img/Rafd090_04_Caucasian_female_contemptuous_frontal.jpg,2,2,1,6.663113117218018
1,243,img/Rafd090_02_Caucasian_female_fearful_frontal.jpg,4,4,1,4.695065021514893
1,243,img/Rafd090_02_Caucasian_female_contemptuous_frontal.jpg,2,2,1,7.898784160614014
1,243,img/Rafd090_14_Caucasian_female_fearful_frontal.jpg,4,4,1,20.673483848571777
1,243,img/Rafd090_09_Caucasian_male_sad_frontal.jpg,6,6,1,2.2052910327911377
1,243,img/Rafd090_10_Caucasian_male_surprised_frontal.jpg,7,7,1,2.062368869781494
1,243,img/Rafd090_07_Caucasian_male_sad_frontal.jpg,6,6,1,3.6024010181427
1,243,img/Rafd090_14_Caucasian_female_happy_frontal.jpg,5,5,1,2.3036460876464844
1,243,img/Rafd090_10_Caucasian_male_disgusted_frontal.jpg,3,3,1,3.7644078731536865
1,243,img/Rafd090_10_Caucasian_male_angry_frontal.jpg,1,1,1,5.702672004699707
1,243,img/Rafd090_08_Caucasian_female_surprised_frontal.jpg,7,7,1,1.7994959354400635
1,243,img/Rafd090_04_Caucasian_female_angry_frontal.jpg,3,1,0,12.694686889648438
1,243,img/Rafd090_03_Caucasian_male_sad_frontal.jpg,6,6,1,1.8910582065582275
1,243,img/Rafd090_04_Caucasian_female_surprised_frontal.jpg,7,7,1,1.6834349632263184
1,243,img/Rafd090_08_Caucasian_female_happy_frontal.jpg,5,5,1,1.8022911548614502
1,243,img/Rafd090_08_Caucasian_female_disgusted_frontal.jpg,3,3,1,2.7855308055877686
1,243,img/Rafd090_03_Caucasian_male_angry_frontal.jpg,6,1,0,17.244447946548462
1,243,img/Rafd090_12_Caucasian_female_fearful_frontal.jpg,4,4,1,2.173245906829834
1,243,img/Rafd090_08_Caucasian_female_sad_frontal.jpg,6,6,1,4.228208065032959
1,243,img/Rafd090_08_Caucasian_female_contemptuous_frontal.jpg,2,2,1,2.1734769344329834
1,243,img/Rafd090_14_Caucasian_female_surprised_frontal.jpg,7,7,1,1.532533884048462
1,243,img/Rafd090_02_Caucasian_female_happy_frontal.jpg,5,5,1,2.3116159439086914
1,243,img/Rafd090_05_Caucasian_male_sad_frontal.jpg,6,6,1,9.289896965026855
1,243,img/Rafd090_05_Caucasian_male_happy_frontal.jpg,5,5,1,1.6264228820800781
1,243,img/Rafd090_02_Caucasian_female_surprised_frontal.jpg,7,7,1,1.7382969856262207
1,243,img/Rafd090_08_Caucasian_female_fearful_frontal.jpg,1,4,0,1.6451621055603027
1,243,img/Rafd090_02_Caucasian_female_disgusted_frontal.jpg,2,3,0,16.77721905708313
1,243,img/Rafd090_05_Caucasian_male_angry_frontal.jpg,1,1,1,2.082659959793091
1,243,img/Rafd090_09_Caucasian_male_surprised_frontal.jpg,7,7,1,1.3295998573303223
1,243,img/Rafd090_04_Caucasian_female_happy_frontal.jpg,5,5,1,2.033933162689209
1,243,img/Rafd090_09_Caucasian_male_angry_frontal.jpg,1,1,1,1.3039460182189941
1,243,img/Rafd090_03_Caucasian_male_surprised_frontal.jpg,7,7,1,1.2383971214294434
1,243,img/Rafd090_14_Caucasian_female_disgusted_frontal.jpg,1,3,0,8.725378036499023
1,243,img/Rafd090_05_Caucasian_male_surprised_frontal.jpg,7,7,1,1.8294758796691895
1,243,img/Rafd090_12_Caucasian_female_sad_frontal.jpg,6,6,1,2.418553113937378
1,243,img/Rafd090_05_Caucasian_male_contemptuous_frontal.jpg,2,2,1,3.4823248386383057
1,243,img/Rafd090_07_Caucasian_male_fearful_frontal.jpg,7,4,0,3.5720908641815186
1,243,img/Rafd090_14_Caucasian_female_contemptuous_frontal.jpg,2,2,1,2.4599080085754395
1,243,img/Rafd090_04_Caucasian_female_disgusted_frontal.jpg,3,3,1,2.811030864715576
1,243,img/Rafd090_03_Caucasian_male_fearful_frontal.jpg,4,4,1,1.8036189079284668
1,243,img/Rafd090_10_Caucasian_male_fearful_frontal.jpg,7,4,0,3.7685580253601074
1,243,img/Rafd090_12_Caucasian_female_disgusted_frontal.jpg,3,3,1,3.632808208465576
1,243,img/Rafd090_10_Caucasian_male_sad_frontal.jpg,6,6,1,1.917360782623291
1,243,img/Rafd090_03_Caucasian_male_happy_frontal.jpg,5,5,1,3.2817020416259766
1,243,img/Rafd090_12_Caucasian_female_surprised_frontal.jpg,7,7,1,1.7899460792541504
1,243,img/Rafd090_05_Caucasian_male_disgusted_frontal.jpg,3,3,1,5.323932886123657
1,243,img/Rafd090_08_Caucasian_female_angry_frontal.jpg,1,1,1,1.5757648944854736
